"No.","Time",                           "Source","Destination","Protocol","Length","Info"
"67","2025-01-12 20:57:22,624883","192.168.1.21","142.250.82.208","UDP","1251","55959  >  3478 Len=1209"
"68","2025-01-12 20:57:22,624912","192.168.1.21","142.250.82.208","UDP","1251","55959  >  3478 Len=1209"
"69","2025-01-12 20:57:22,631007","192.168.1.21","142.250.82.212","UDP","238","58101  >  3478 Len=196"
"70","2025-01-12 20:57:22,649768","192.168.1.21","142.250.82.208","UDP","746","55959  >  3478 Len=704"
"71","2025-01-12 20:57:22,650054","192.168.1.21","142.250.82.208","UDP","746","55959  >  3478 Len=704"
"72","2025-01-12 20:57:22,651825","192.168.1.21","142.250.82.212","UDP","226","58101  >  3478 Len=184"
"73","2025-01-12 20:57:22,663582","142.250.82.212","192.168.1.21","RTCP","106","Application specific   subtype=13"
"74","2025-01-12 20:57:22,663582","142.250.82.208","192.168.1.21","RTCP","130","Application specific   subtype=13"
"75","2025-01-12 20:57:22,670975","192.168.1.21","142.250.82.212","UDP","157","58101  >  3478 Len=115"
"76","2025-01-12 20:57:22,685521","192.168.1.21","142.250.82.208","UDP","939","55959  >  3478 Len=897"
"77","2025-01-12 20:57:22,685613","192.168.1.21","142.250.82.208","UDP","939","55959  >  3478 Len=897"
"78","2025-01-12 20:57:22,685639","192.168.1.21","142.250.82.208","UDP","940","55959  >  3478 Len=898"
"79","2025-01-12 20:57:22,712398","142.250.82.212","192.168.1.21","RTCP","110","Application specific   subtype=13"
"80","2025-01-12 20:57:22,712869","142.250.82.208","192.168.1.21","RTCP","118","Application specific   ( Ghv^ ) subtype=13"
"81","2025-01-12 20:57:22,718005","142.250.82.212","192.168.1.21","RTCP","258","Sender Report   "
"82","2025-01-12 20:57:22,741200","142.250.82.212","192.168.1.21","UDP","174","3478  >  58101 Len=132"
"83","2025-01-12 20:57:22,741200","142.250.82.212","192.168.1.21","UDP","87","3478  >  58101 Len=45"
"84","2025-01-12 20:57:22,760123","192.168.1.21","142.250.82.208","UDP","1205","55959  >  3478 Len=1163"
"85","2025-01-12 20:57:22,760217","192.168.1.21","142.250.82.208","UDP","1205","55959  >  3478 Len=1163"
"86","2025-01-12 20:57:22,760230","192.168.1.21","142.250.82.208","UDP","1205","55959  >  3478 Len=1163"
"87","2025-01-12 20:57:22,760246","192.168.1.21","142.250.82.208","UDP","1205","55959  >  3478 Len=1163"
"88","2025-01-12 20:57:22,760255","192.168.1.21","142.250.82.208","UDP","1205","55959  >  3478 Len=1163"
"89","2025-01-12 20:57:22,760280","192.168.1.21","142.250.82.208","UDP","1205","55959  >  3478 Len=1163"
"90","2025-01-12 20:57:22,760461","192.168.1.21","142.250.82.208","UDP","1205","55959  >  3478 Len=1163"
"91","2025-01-12 20:57:22,760500","192.168.1.21","142.250.82.208","UDP","1205","55959  >  3478 Len=1163"
"92","2025-01-12 20:57:22,760513","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"93","2025-01-12 20:57:22,760525","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"94","2025-01-12 20:57:22,760672","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"95","2025-01-12 20:57:22,760754","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"96","2025-01-12 20:57:22,760796","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"97","2025-01-12 20:57:22,760812","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"98","2025-01-12 20:57:22,760827","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"99","2025-01-12 20:57:22,760841","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"100","2025-01-12 20:57:22,760849","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"101","2025-01-12 20:57:22,760860","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"102","2025-01-12 20:57:22,760869","192.168.1.21","142.250.82.208","UDP","1206","55959  >  3478 Len=1164"
"103","2025-01-12 20:57:22,763834","142.250.82.208","192.168.1.21","RTCP","110","Application specific   subtype=13"
"104","2025-01-12 20:57:22,790571","192.168.1.21","142.250.82.212","STUN","166","Binding Request user: B4xvX7JqxxpKHwoKAAiKYigCIAMQ:aacs"
"105","2025-01-12 20:57:22,790825","192.168.1.21","142.250.82.212","UDP","86","58101  >  3478 Len=44"
"106","2025-01-12 20:57:22,798146","192.168.1.21","142.250.82.208","UDP","1196","55959  >  3478 Len=1154"
"107","2025-01-12 20:57:22,798240","192.168.1.21","142.250.82.208","UDP","1197","55959  >  3478 Len=1155"
"108","2025-01-12 20:57:22,812902","142.250.82.208","192.168.1.21","RTCP","126","Application specific   subtype=13"
"109","2025-01-12 20:57:22,821912","192.168.1.21","142.250.82.212","RTCP","90","Receiver Report   "
"110","2025-01-12 20:57:22,828166","192.168.1.21","142.250.82.208","UDP","337","55959  >  3478 Len=295"
"111","2025-01-12 20:57:22,828349","192.168.1.21","142.250.82.208","UDP","1197","55959  >  3478 Len=1155"
"112","2025-01-12 20:57:22,830328","192.168.1.21","142.250.82.208","UDP","1197","55959  >  3478 Len=1155"
"113","2025-01-12 20:57:22,830472","192.168.1.21","142.250.82.208","UDP","1197","55959  >  3478 Len=1155"
"114","2025-01-12 20:57:22,834595","142.250.82.212","192.168.1.21","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.2.109.6:46181"
"115","2025-01-12 20:57:22,834814","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"116","2025-01-12 20:57:22,834910","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"117","2025-01-12 20:57:22,840237","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"118","2025-01-12 20:57:22,840340","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"119","2025-01-12 20:57:22,841233","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"120","2025-01-12 20:57:22,841280","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"121","2025-01-12 20:57:22,846089","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"122","2025-01-12 20:57:22,846175","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"123","2025-01-12 20:57:22,846197","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"124","2025-01-12 20:57:22,846213","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"125","2025-01-12 20:57:22,846229","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"126","2025-01-12 20:57:22,846238","192.168.1.21","142.250.82.208","UDP","1198","55959  >  3478 Len=1156"
"127","2025-01-12 20:57:22,857209","192.168.1.21","142.250.82.208","UDP","1172","55959  >  3478 Len=1130"
"128","2025-01-12 20:57:22,857315","192.168.1.21","142.250.82.208","UDP","1173","55959  >  3478 Len=1131"
"129","2025-01-12 20:57:22,861579","142.250.82.212","192.168.1.21","UDP","173","3478  >  58101 Len=131"
"130","2025-01-12 20:57:22,863643","142.250.82.208","192.168.1.21","RTCP","106","Application specific   subtype=13"
"131","2025-01-12 20:57:22,882654","142.250.82.212","192.168.1.21","UDP","91","3478  >  58101 Len=49"
"132","2025-01-12 20:57:22,888430","142.250.82.208","192.168.1.21","UDP","78","3478  >  55959 Len=36"
"133","2025-01-12 20:57:22,889183","192.168.1.21","142.250.82.208","UDP","1200","55959  >  3478 Len=1158"
"134","2025-01-12 20:57:22,889453","192.168.1.21","142.250.82.208","UDP","1200","55959  >  3478 Len=1158"
"135","2025-01-12 20:57:22,894269","192.168.1.21","142.250.82.208","UDP","1202","55959  >  3478 Len=1160"
"136","2025-01-12 20:57:22,894391","192.168.1.21","142.250.82.208","UDP","1202","55959  >  3478 Len=1160"
"137","2025-01-12 20:57:22,894411","192.168.1.21","142.250.82.208","UDP","1202","55959  >  3478 Len=1160"
"138","2025-01-12 20:57:22,894424","192.168.1.21","142.250.82.208","UDP","1202","55959  >  3478 Len=1160"
"139","2025-01-12 20:57:22,894433","192.168.1.21","142.250.82.208","UDP","1202","55959  >  3478 Len=1160"
