No.,Time,Source,Destination,Protocol,Length,Info,Label
121,"2025-01-12 20:57:22,846089",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
122,"2025-01-12 20:57:22,846175",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
123,"2025-01-12 20:57:22,846197",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
124,"2025-01-12 20:57:22,846213",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
125,"2025-01-12 20:57:22,846229",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
126,"2025-01-12 20:57:22,846238",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
127,"2025-01-12 20:57:22,857209",192.168.1.21,142.250.82.208,UDP,1172,55959  >  3478 Len=1130,1
128,"2025-01-12 20:57:22,857315",192.168.1.21,142.250.82.208,UDP,1173,55959  >  3478 Len=1131,1
129,"2025-01-12 20:57:22,861579",142.250.82.212,192.168.1.21,UDP,173,3478  >  58101 Len=131,0
130,"2025-01-12 20:57:22,863643",142.250.82.208,192.168.1.21,RTCP,106,Application specific   subtype=13,0
131,"2025-01-12 20:57:22,882654",142.250.82.212,192.168.1.21,UDP,91,3478  >  58101 Len=49,0
132,"2025-01-12 20:57:22,888430",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36,0
133,"2025-01-12 20:57:22,889183",192.168.1.21,142.250.82.208,UDP,1200,55959  >  3478 Len=1158,1
134,"2025-01-12 20:57:22,889453",192.168.1.21,142.250.82.208,UDP,1200,55959  >  3478 Len=1158,1
135,"2025-01-12 20:57:22,894269",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
136,"2025-01-12 20:57:22,894391",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
137,"2025-01-12 20:57:22,894411",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
138,"2025-01-12 20:57:22,894424",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
139,"2025-01-12 20:57:22,894433",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
140,"2025-01-12 20:57:22,894446",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
